sequence,depth,T_HW_ms,cycles,MMAC,weights,bottlenecks,block_cycles,hw_feasible_on_bitstream,infeasible_at
16-16-64,3,11.101000,1110100,57.139200,1643,PW-DW-PW,518400/469300/122400,1,
16-32-64,3,12.258960,1225896,88.704000,3067,PW-DW-DW,518400/469300/238196,1,
16-16-16-64,4,12.295600,1229560,62.899200,2043,PW-DW-DW-PW,518400/469300/119460/122400,1,
16-16-32-64,4,12.727600,1272760,83.404800,3467,PW-DW-DW-PW,518400/469300/119460/165600,1,
16-16-16-16-64,5,12.835600,1283560,68.659200,2443,PW-DW-DW-PW-PW,518400/469300/119460/54000/122400,1,
16-16-32-16-64,5,13.123600,1312360,78.105600,3099,PW-DW-DW-PW-PW,518400/469300/119460/82800/122400,1,
16-16-48-64,4,13.303600,1330360,103.910400,4891,PW-DW-DW-PW,518400/469300/119460/223200,1,
16-16-16-16-16-64,6,13.375600,1337560,74.419200,2843,PW-DW-DW-PW-PW-PW,518400/469300/119460/54000/54000/122400,1,
16-16-16-32-64,5,13.411600,1341160,89.164800,3867,PW-DW-DW-PW-PW,518400/469300/119460/68400/165600,1,
16-16-48-16-64,5,13.411600,1341160,87.552000,3755,PW-DW-DW-PW-PW,518400/469300/119460/111600/122400,1,
16-48-64,3,13.446320,1344632,120.268800,4491,PW-DW-DW,518400/469300/356932,1,
16-32-16-64,4,13.482960,1348296,83.404800,2699,PW-DW-DW-PW,518400/469300/238196/122400,1,
16-16-32-16-16-64,6,13.663600,1366360,83.865600,3499,PW-DW-DW-PW-PW-PW,518400/469300/119460/82800/54000/122400,1,
16-16-32-32-64,5,13.699600,1369960,102.297600,4779,PW-DW-DW-PW-PW,518400/469300/119460/97200/165600,1,
16-16-64-16-64,5,13.729000,1372900,96.998400,4411,PW-DW-PW-PW-PW,518400/469300/122400/140400/122400,1,
16-16-16-32-16-64,6,13.807600,1380760,83.865600,3499,PW-DW-DW-PW-PW-PW,518400/469300/119460/68400/82800/122400,1,
16-16-64-64,4,13.909000,1390900,124.416000,6315,PW-DW-PW-PW,518400/469300/122400/280800,1,
