H,W,c_in,stride,G,in_beats,predicted_cycles,measured_cycles,abs_err,pct_err,err_per_row,axis_cycles,axis_minus_core,core_out_beats,axis_out_beats,status
90,160,3,2,20,5400,6097,6049,-48,-0.7872724290634738,-0.5274725274725275,6130,81,1350,1350,OK
180,160,3,2,20,10800,12127,12079,-48,-0.39581100024738186,-0.26519337016574585,12160,81,2700,2700,OK
360,160,3,2,20,21600,24187,24139,-48,-0.19845371480547402,-0.1329639889196676,24220,81,5400,5400,OK
720,160,3,2,20,43200,48307,48259,-48,-0.09936448133810835,-0.06657420249653259,48340,81,10800,10800,OK
90,320,3,2,40,10800,11557,11449,-108,-0.9344985722938479,-1.1868131868131868,11590,141,2700,2700,OK
180,320,3,2,40,21600,22987,22879,-108,-0.4698307739156915,-0.5966850828729282,23020,141,5400,5400,OK
360,320,3,2,40,43200,45847,45739,-108,-0.2355661221017733,-0.29916897506925205,45880,141,10800,10800,OK
720,320,3,2,40,86400,91567,91459,-108,-0.11794642174582547,-0.14979195561719832,91600,141,21600,21600,OK
90,640,3,2,80,21600,22477,22249,-228,-1.0143702451394758,-2.5054945054945055,22510,261,5400,5400,OK
180,640,3,2,80,43200,44707,44479,-228,-0.509987250318742,-1.2596685082872927,44740,261,10800,10800,OK
360,640,3,2,80,86400,89167,88939,-228,-0.25569997869166844,-0.631578947368421,89200,261,21600,21600,OK
720,640,3,2,80,172800,178087,177859,-228,-0.1280273124933319,-0.31622746185852985,178120,261,43200,43200,OK
90,1280,3,2,160,43200,44317,43849,-468,-1.0560281607509534,-5.142857142857143,44350,501,10800,10800,OK
180,1280,3,2,160,86400,88147,87679,-468,-0.5309312852394296,-2.585635359116022,88180,501,21600,21600,OK
360,1280,3,2,160,172800,175807,175339,-468,-0.2662010045106281,-1.296398891966759,175840,501,43200,43200,OK
720,1280,3,2,160,345600,351127,350659,-468,-0.13328510766759605,-0.6490984743411928,351160,501,86400,86400,OK
90,160,8,2,20,14400,15652,15499,-153,-0.9775108612317914,-1.6813186813186813,15685,186,3600,3600,OK
180,160,8,2,20,28800,31132,30979,-153,-0.4914557368623924,-0.8453038674033149,31165,186,7200,7200,OK
360,160,8,2,20,57600,62092,61939,-153,-0.2464085550473491,-0.42382271468144045,62125,186,14400,14400,OK
720,160,8,2,20,115200,124012,123859,-153,-0.12337515724284746,-0.21220527045769763,124045,186,28800,28800,OK
90,320,8,2,40,28800,30212,29899,-313,-1.0360121805904938,-3.4395604395604398,30245,346,7200,7200,OK
180,320,8,2,40,57600,60092,59779,-313,-0.5208680023963256,-1.729281767955801,60125,346,14400,14400,OK
360,320,8,2,40,115200,119852,119539,-313,-0.26115542502419653,-0.8670360110803325,119885,346,28800,28800,OK
720,320,8,2,40,230400,239372,239059,-313,-0.1307588189094798,-0.43411927877947293,239405,346,57600,57600,OK
90,640,8,2,80,57600,59332,58699,-633,-1.066877907368705,-6.956043956043956,59365,666,14400,14400,OK
180,640,8,2,80,115200,118012,117379,-633,-0.536386130224045,-3.4972375690607733,118045,666,28800,28800,OK
360,640,8,2,80,230400,235372,234739,-633,-0.2689359821898951,-1.7534626038781163,235405,666,57600,57600,OK
720,640,8,2,80,460800,470092,469459,-633,-0.13465449316304043,-0.8779472954230236,470125,666,115200,115200,OK
90,1280,8,2,160,115200,117572,116299,-1273,-1.0827407886231415,-13.989010989010989,117605,1306,28800,28800,OK
180,1280,8,2,160,230400,233852,232579,-1273,-0.5443613909652258,-7.033149171270718,233885,1306,57600,57600,OK
360,1280,8,2,160,460800,466412,465139,-1273,-0.27293465862799415,-3.526315789473684,466445,1306,115200,115200,OK
720,1280,8,2,160,921600,931532,930259,-1273,-0.13665660438932856,-1.765603328710125,931565,1306,230400,230400,OK
90,160,16,2,20,28800,30940,30619,-321,-1.037491919844861,-3.5274725274725274,30973,354,7200,7200,OK
180,160,16,2,20,57600,61540,61219,-321,-0.5216119597010075,-1.7734806629834254,61573,354,14400,14400,OK
360,160,16,2,20,115200,122740,122419,-321,-0.2615284340883168,-0.889196675900277,122773,354,28800,28800,OK
720,160,16,2,20,230400,245140,244819,-321,-0.1309455821163417,-0.44521497919556174,245173,354,57600,57600,OK
90,320,16,2,40,57600,60060,59419,-641,-1.0672660672660672,-7.043956043956044,60093,674,14400,14400,OK
180,320,16,2,40,115200,119460,118819,-641,-0.536581282437636,-3.541436464088398,119493,674,28800,28800,OK
