set,candidate,block,H,W,G,stride,cin,cout,G_x_cin,MAX_CG_PRODUCT,feasible,reason
CTRL-A,16-48-64,1,720,1280,160,2,3,16,480,2048,yes,
CTRL-A,16-48-64,2,360,640,80,2,16,48,1280,2048,yes,
CTRL-A,16-48-64,3,180,320,40,2,48,64,1920,2048,yes,
CTRL-B,16-32-32-32-64-64,1,720,1280,160,2,3,16,480,2048,yes,
CTRL-B,16-32-32-32-64-64,2,360,640,80,2,16,32,1280,2048,yes,
CTRL-B,16-32-32-32-64-64,3,180,320,40,2,32,32,1280,2048,yes,
CTRL-B,16-32-32-32-64-64,4,90,160,20,1,32,32,640,2048,yes,
CTRL-B,16-32-32-32-64-64,5,90,160,20,1,32,64,640,2048,yes,
CTRL-B,16-32-32-32-64-64,6,90,160,20,1,64,64,1280,2048,yes,
OOS-A,16-16-16-16-32-64,1,720,1280,160,2,3,16,480,2048,yes,
OOS-A,16-16-16-16-32-64,2,360,640,80,2,16,16,1280,2048,yes,
OOS-A,16-16-16-16-32-64,3,180,320,40,2,16,16,640,2048,yes,
OOS-A,16-16-16-16-32-64,4,90,160,20,1,16,16,320,2048,yes,
OOS-A,16-16-16-16-32-64,5,90,160,20,1,16,32,320,2048,yes,
OOS-A,16-16-16-16-32-64,6,90,160,20,1,32,64,640,2048,yes,
OOS-B,16-16-48-32-64,1,720,1280,160,2,3,16,480,2048,yes,
OOS-B,16-16-48-32-64,2,360,640,80,2,16,16,1280,2048,yes,
OOS-B,16-16-48-32-64,3,180,320,40,2,16,48,640,2048,yes,
OOS-B,16-16-48-32-64,4,90,160,20,1,48,32,960,2048,yes,
OOS-B,16-16-48-32-64,5,90,160,20,1,32,64,640,2048,yes,
OOS-C,16-16-64-64,1,720,1280,160,2,3,16,480,2048,yes,
OOS-C,16-16-64-64,2,360,640,80,2,16,16,1280,2048,yes,
OOS-C,16-16-64-64,3,180,320,40,2,16,64,640,2048,yes,
OOS-C,16-16-64-64,4,90,160,20,1,64,64,1280,2048,yes,
OOS-D,16-32-48-64-32-64,1,720,1280,160,2,3,16,480,2048,yes,
OOS-D,16-32-48-64-32-64,2,360,640,80,2,16,32,1280,2048,yes,
OOS-D,16-32-48-64-32-64,3,180,320,40,2,32,48,1280,2048,yes,
OOS-D,16-32-48-64-32-64,4,90,160,20,1,48,64,960,2048,yes,
OOS-D,16-32-48-64-32-64,5,90,160,20,1,64,32,1280,2048,yes,
OOS-D,16-32-48-64-32-64,6,90,160,20,1,32,64,640,2048,yes,
repo,8-32-64-64-64-64,1,720,1280,160,2,3,8,480,2048,yes,
repo,8-32-64-64-64-64,2,360,640,80,2,8,32,640,2048,yes,
repo,8-32-64-64-64-64,3,180,320,40,2,32,64,1280,2048,yes,
repo,8-32-64-64-64-64,4,90,160,20,1,64,64,1280,2048,yes,
repo,8-32-64-64-64-64,5,90,160,20,1,64,64,1280,2048,yes,
repo,8-32-64-64-64-64,6,90,160,20,1,64,64,1280,2048,yes,
repo,12-32-64-64-64-64,1,720,1280,160,2,3,12,480,2048,yes,
repo,12-32-64-64-64-64,2,360,640,80,2,12,32,960,2048,yes,
repo,12-32-64-64-64-64,3,180,320,40,2,32,64,1280,2048,yes,
repo,12-32-64-64-64-64,4,90,160,20,1,64,64,1280,2048,yes,
repo,12-32-64-64-64-64,5,90,160,20,1,64,64,1280,2048,yes,
repo,12-32-64-64-64-64,6,90,160,20,1,64,64,1280,2048,yes,
repo,16-32-64-64-64-64,1,720,1280,160,2,3,16,480,2048,yes,
repo,16-32-64-64-64-64,2,360,640,80,2,16,32,1280,2048,yes,
repo,16-32-64-64-64-64,3,180,320,40,2,32,64,1280,2048,yes,
repo,16-32-64-64-64-64,4,90,160,20,1,64,64,1280,2048,yes,
repo,16-32-64-64-64-64,5,90,160,20,1,64,64,1280,2048,yes,
repo,16-32-64-64-64-64,6,90,160,20,1,64,64,1280,2048,yes,
repo,16-32-64-32-64-64,1,720,1280,160,2,3,16,480,2048,yes,
repo,16-32-64-32-64-64,2,360,640,80,2,16,32,1280,2048,yes,
repo,16-32-64-32-64-64,3,180,320,40,2,32,64,1280,2048,yes,
repo,16-32-64-32-64-64,4,90,160,20,1,64,32,1280,2048,yes,
repo,16-32-64-32-64-64,5,90,160,20,1,32,64,640,2048,yes,
repo,16-32-64-32-64-64,6,90,160,20,1,64,64,1280,2048,yes,
repo,8-32-32-32-64-64,1,720,1280,160,2,3,8,480,2048,yes,
repo,8-32-32-32-64-64,2,360,640,80,2,8,32,640,2048,yes,
repo,8-32-32-32-64-64,3,180,320,40,2,32,32,1280,2048,yes,
repo,8-32-32-32-64-64,4,90,160,20,1,32,32,640,2048,yes,
repo,8-32-32-32-64-64,5,90,160,20,1,32,64,640,2048,yes,
repo,8-32-32-32-64-64,6,90,160,20,1,64,64,1280,2048,yes,
repo,16-32-32-64-64-64,1,720,1280,160,2,3,16,480,2048,yes,
repo,16-32-32-64-64-64,2,360,640,80,2,16,32,1280,2048,yes,
repo,16-32-32-64-64-64,3,180,320,40,2,32,32,1280,2048,yes,
repo,16-32-32-64-64-64,4,90,160,20,1,32,64,640,2048,yes,
repo,16-32-32-64-64-64,5,90,160,20,1,64,64,1280,2048,yes,
repo,16-32-32-64-64-64,6,90,160,20,1,64,64,1280,2048,yes,
repo,8-48-64-64-64-64,1,720,1280,160,2,3,8,480,2048,yes,
repo,8-48-64-64-64-64,2,360,640,80,2,8,48,640,2048,yes,
