candidate,tag,block,H_in,W_in,G,stride,cin,cout,batches,Q_last,pw_cyc_per_group,ngroups_out,T_DW_cyc,T_PW_cyc,T_block_cyc,binding,T_block_ms
16-48-64,CTRL-A,1,720,1280,160,2,3,16,1,16,18,28800,351127,518400,518400,PW,5.184
16-48-64,CTRL-A,2,360,640,80,2,16,48,2,16,57,7200,469300,410400,469300,DW,4.693
16-48-64,CTRL-A,3,180,320,40,2,48,64,2,32,124,1800,356932,223200,356932,DW,3.56932
16-32-32-32-64-64,CTRL-B,1,720,1280,160,2,3,16,1,16,18,28800,351127,518400,518400,PW,5.184
16-32-32-32-64-64,CTRL-B,2,360,640,80,2,16,32,1,32,38,7200,469300,273600,469300,DW,4.693
16-32-32-32-64-64,CTRL-B,3,180,320,40,2,32,32,1,32,54,1800,238196,97200,238196,DW,2.38196
16-32-32-32-64-64,CTRL-B,4,90,160,20,1,32,32,1,32,54,1800,61516,97200,97200,PW,0.972
16-32-32-32-64-64,CTRL-B,5,90,160,20,1,32,64,2,32,92,1800,61516,165600,165600,PW,1.656
16-32-32-32-64-64,CTRL-B,6,90,160,20,1,64,64,2,32,156,1800,122668,280800,280800,PW,2.808
16-16-16-16-32-64,OOS-A,1,720,1280,160,2,3,16,1,16,18,28800,351127,518400,518400,PW,5.184
16-16-16-16-32-64,OOS-A,2,360,640,80,2,16,16,1,16,30,7200,469300,216000,469300,DW,4.693
16-16-16-16-32-64,OOS-A,3,180,320,40,2,16,16,1,16,30,1800,119460,54000,119460,DW,1.1946
16-16-16-16-32-64,OOS-A,4,90,160,20,1,16,16,1,16,30,1800,30940,54000,54000,PW,0.54
16-16-16-16-32-64,OOS-A,5,90,160,20,1,16,32,1,32,38,1800,30940,68400,68400,PW,0.684
16-16-16-16-32-64,OOS-A,6,90,160,20,1,32,64,2,32,92,1800,61516,165600,165600,PW,1.656
16-16-48-32-64,OOS-B,1,720,1280,160,2,3,16,1,16,18,28800,351127,518400,518400,PW,5.184
16-16-48-32-64,OOS-B,2,360,640,80,2,16,16,1,16,30,7200,469300,216000,469300,DW,4.693
16-16-48-32-64,OOS-B,3,180,320,40,2,16,48,2,16,57,1800,119460,102600,119460,DW,1.1946
16-16-48-32-64,OOS-B,4,90,160,20,1,48,32,1,32,70,1800,92092,126000,126000,PW,1.26
16-16-48-32-64,OOS-B,5,90,160,20,1,32,64,2,32,92,1800,61516,165600,165600,PW,1.656
16-16-64-64,OOS-C,1,720,1280,160,2,3,16,1,16,18,28800,351127,518400,518400,PW,5.184
16-16-64-64,OOS-C,2,360,640,80,2,16,16,1,16,30,7200,469300,216000,469300,DW,4.693
16-16-64-64,OOS-C,3,180,320,40,2,16,64,2,32,68,1800,119460,122400,122400,PW,1.224
16-16-64-64,OOS-C,4,90,160,20,1,64,64,2,32,156,1800,122668,280800,280800,PW,2.808
16-32-48-64-32-64,OOS-D,1,720,1280,160,2,3,16,1,16,18,28800,351127,518400,518400,PW,5.184
16-32-48-64-32-64,OOS-D,2,360,640,80,2,16,32,1,32,38,7200,469300,273600,469300,DW,4.693
16-32-48-64-32-64,OOS-D,3,180,320,40,2,32,48,2,16,84,1800,238196,151200,238196,DW,2.38196
16-32-48-64-32-64,OOS-D,4,90,160,20,1,48,64,2,32,124,1800,92092,223200,223200,PW,2.232
16-32-48-64-32-64,OOS-D,5,90,160,20,1,64,32,1,32,86,1800,122668,154800,154800,PW,1.548
16-32-48-64-32-64,OOS-D,6,90,160,20,1,32,64,2,32,92,1800,61516,165600,165600,PW,1.656
