
****** xsim v2020.2 (64-bit)
  **** SW Build 3064766 on Wed Nov 18 09:12:45 MST 2020
  **** IP Build 3064653 on Wed Nov 18 14:17:31 MST 2020
    ** Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.

source xsim.dir/dwsnap/xsim_script.tcl
# xsim {dwsnap} -autoloadwcfg -runall
Vivado Simulator 2020.2
Time resolution is 1 ps
run -all
DWCSV,h,w,cin,stride,G,in_beats,core_cycles,axis_cycles,axis_minus_core,core_out_beats,axis_out_beats,status
DWCSV,90,160,3,2,20,5400,6049,6130,81,1350,1350,         OK
DWCSV,180,160,3,2,20,10800,12079,12160,81,2700,2700,         OK
DWCSV,360,160,3,2,20,21600,24139,24220,81,5400,5400,         OK
DWCSV,720,160,3,2,20,43200,48259,48340,81,10800,10800,         OK
DWCSV,90,320,3,2,40,10800,11449,11590,141,2700,2700,         OK
DWCSV,180,320,3,2,40,21600,22879,23020,141,5400,5400,         OK
DWCSV,360,320,3,2,40,43200,45739,45880,141,10800,10800,         OK
DWCSV,720,320,3,2,40,86400,91459,91600,141,21600,21600,         OK
DWCSV,90,640,3,2,80,21600,22249,22510,261,5400,5400,         OK
DWCSV,180,640,3,2,80,43200,44479,44740,261,10800,10800,         OK
DWCSV,360,640,3,2,80,86400,88939,89200,261,21600,21600,         OK
DWCSV,720,640,3,2,80,172800,177859,178120,261,43200,43200,         OK
DWCSV,90,1280,3,2,160,43200,43849,44350,501,10800,10800,         OK
DWCSV,180,1280,3,2,160,86400,87679,88180,501,21600,21600,         OK
DWCSV,360,1280,3,2,160,172800,175339,175840,501,43200,43200,         OK
DWCSV,720,1280,3,2,160,345600,350659,351160,501,86400,86400,         OK
DWCSV,90,160,8,2,20,14400,15499,15685,186,3600,3600,         OK
DWCSV,180,160,8,2,20,28800,30979,31165,186,7200,7200,         OK
DWCSV,360,160,8,2,20,57600,61939,62125,186,14400,14400,         OK
DWCSV,720,160,8,2,20,115200,123859,124045,186,28800,28800,         OK
DWCSV,90,320,8,2,40,28800,29899,30245,346,7200,7200,         OK
DWCSV,180,320,8,2,40,57600,59779,60125,346,14400,14400,         OK
DWCSV,360,320,8,2,40,115200,119539,119885,346,28800,28800,         OK
DWCSV,720,320,8,2,40,230400,239059,239405,346,57600,57600,         OK
